platform_id	platform_name	os	version	uv	hp_cal_dt
2	主APP	ios	2.2.0	0	2017-02-24
2	主APP	ios	3.0.0	1	2017-02-24
2	主APP	ios	3.1.0	0	2017-02-24
2	主APP	ios	3.1.1	0	2017-02-24
2	主APP	ios	4.0.0	0	2017-02-24
2	主APP	ios	4.1.0	0	2017-02-24
2	主APP	ios	4.1.2	1	2017-02-24
2	主APP	ios	4.2.0	2	2017-02-24
2	主APP	ios	4.3.0	0	2017-02-24
2	主APP	ios	4.4.0	0	2017-02-24
2	主APP	ios	4.5.0	1	2017-02-24
2	主APP	ios	4.6.0	1	2017-02-24
2	主APP	ios	4.6.1	0	2017-02-24
2	主APP	ios	4.7.0	0	2017-02-24
2	主APP	ios	4.7.1	2	2017-02-24
2	主APP	ios	4.8.0	2	2017-02-24
2	主APP	ios	4.8.1	2	2017-02-24
2	主APP	ios	4.8.2	4	2017-02-24
2	主APP	ios	4.9.0	2	2017-02-24
2	主APP	ios	4.9.10	0	2017-02-24
2	主APP	ios	4.9.11	0	2017-02-24
2	主APP	ios	4.9.12	0	2017-02-24
2	主APP	ios	4.9.9	0	2017-02-24
2	主APP	ios	5.0.0	3	2017-02-24
2	主APP	ios	5.1.0	2	2017-02-24
2	主APP	ios	5.2.0	2	2017-02-24
2	主APP	ios	5.2.1	0	2017-02-24
2	主APP	ios	5.3.0	0	2017-02-24
2	主APP	ios	5.3.1	3	2017-02-24
2	主APP	ios	5.4.0	4	2017-02-24
2	主APP	ios	5.4.5	1	2017-02-24
2	主APP	ios	5.5.0	1	2017-02-24
2	主APP	ios	5.5.1	6	2017-02-24
2	主APP	ios	5.6.0	3	2017-02-24
2	主APP	ios	5.7.0	1	2017-02-24
2	主APP	ios	5.8.1	3	2017-02-24
2	主APP	ios	5.8.2	2	2017-02-24
2	主APP	ios	5.9.0	6	2017-02-24
2	主APP	ios	5.9.5	14	2017-02-24
2	主APP	ios	6.0.0	0	2017-02-24
2	主APP	ios	6.0.1	19	2017-02-24
2	主APP	ios	6.0.2	3	2017-02-24
2	主APP	ios	6.1.0	24	2017-02-24
2	主APP	ios	6.2.0	4	2017-02-24
2	主APP	ios	6.2.1	15	2017-02-24
2	主APP	ios	6.3.0	36	2017-02-24
2	主APP	ios	6.4.0	26	2017-02-24
2	主APP	ios	6.4.1	25	2017-02-24
2	主APP	ios	6.5.0	20	2017-02-24
2	主APP	ios	6.5.1	41	2017-02-24
2	主APP	ios	6.6.0	19	2017-02-24
2	主APP	ios	6.6.5	38	2017-02-24
2	主APP	ios	6.7.0	30	2017-02-24
2	主APP	ios	6.7.5	53	2017-02-24
2	主APP	ios	6.8.0	40	2017-02-24
2	主APP	ios	6.8.5	167	2017-02-24
2	主APP	ios	6.9.0	126	2017-02-24
2	主APP	ios	6.9.5	311	2017-02-24
2	主APP	ios	6.9.7	190	2017-02-24
2	主APP	ios	6.9.8	166	2017-02-24
2	主APP	ios	7.0.0	78	2017-02-24
2	主APP	ios	7.0.1	391	2017-02-24
2	主APP	ios	7.0.2	265	2017-02-24
2	主APP	ios	7.1.0	519	2017-02-24
2	主APP	ios	7.2.0	437	2017-02-24
2	主APP	ios	7.5.0	417	2017-02-24
2	主APP	ios	7.5.1	1448	2017-02-24
2	主APP	ios	7.5.3	0	2017-02-24
2	主APP	ios	7.6.0	2520	2017-02-24
2	主APP	ios	7.7.0	782	2017-02-24
2	主APP	ios	7.8.0	873	2017-02-24
2	主APP	ios	7.8.1	692	2017-02-24
2	主APP	ios	7.8.2	2623	2017-02-24
2	主APP	ios	7.9.0	7694	2017-02-24
2	主APP	ios	7.9.2	11277	2017-02-24
2	主APP	ios	7.9.4	5531	2017-02-24
2	主APP	ios	7.9.6	5496	2017-02-24
2	主APP	ios	7.9.8	6249	2017-02-24
2	主APP	ios	8.0.0	3751	2017-02-24
